city,stadtteil_name,area_km,sentinel_2018_perc,sentinel_2024_perc,sentinel_net_change_perc,planet_2024_perc,method_diff_perc,sentinel_2018_area,sentinel_2024_area,sentinel_net_change_area,planet_2024_area,method_diff_area,mean_relative_lst_2023_2024
Hamburg,Allermöhe,8.63765374498439,0.248493551146784,0.263621267113686,0.0151277159669014,0.285639916950657,0.022018649836971,2.14640125266749,2.27706922514206,0.130667972474566,2.46725869836587,0.190189473223812,0.743110674018835
Hamburg,Alsterdorf,3.15534575159093,0.303849669523437,0.349478871127328,0.0456292016038908,0.409042260416667,0.0595633892893392,0.958750763853086,1.10272667128241,0.143975907429323,1.29066975862688,0.187943087344473,0.904216190977014
Hamburg,Altengamme,15.6081744898745,0.0493992385969926,0.0493857031552988,-1.35354416937e-05,0.0331336843952537,-0.0162520187600452,0.771031935688801,0.770820672153047,-0.0002112635357539,0.517156327533549,-0.253664344619498,-1.18067652887623
Hamburg,Altenwerder,6.69948426814265,0.544968932244178,0.547515153207738,0.0025462209635598,0.542137285909156,-0.0053778672985818,3.65101078819636,3.66806915548495,0.0170583672885841,3.63204021812194,-0.0360289373630076,3.38756243218598
Hamburg,Altona-Altstadt,2.71791727787271,0.48045817453394,0.510458803124379,0.0300006285904396,0.572770889202684,0.062312086078305,1.30584557386098,1.38738480065398,0.0815392267929978,1.55674389602649,0.169359095372517,1.69939585091147
Hamburg,Altona-Nord,2.21789334166184,0.599788132409731,0.605811171668559,0.0060230392588284,0.656831525162037,0.0510203534934782,1.33026610527933,1.34362456394805,0.0133584586687234,1.45678226625047,0.113157702302419,4.72438893055126
Hamburg,Bahrenfeld,10.5411432954605,0.390196337280728,0.409791291070192,0.0195949537894638,0.4262681421106,0.0164768510404073,4.11311550464,4.31966872040266,0.206553215762665,4.49335356827755,0.173684847874891,2.37566494406771
Hamburg,Barmbek-Nord,3.85125270389021,0.423818308237421,0.44383641429109,0.0200181060536693,0.478633803653106,0.0347973893620158,1.63223140555754,1.7093261906235,0.077094785065955,1.84333973049228,0.134013539868784,2.57299816120684
Hamburg,Barmbek-Süd,3.09173431553516,0.454592753751186,0.455948512715484,0.0013557589642971,0.529286731753589,0.0733382190381055,1.40548001636617,1.40967166287968,0.0041916465135118,1.63641395132002,0.226742288440344,2.76554716088731
Hamburg,Bergedorf,10.3590639566949,0.30728497678255,0.338127848007502,0.030842871224952,0.329314305322808,-0.008813542684694,3.18318472742195,3.50268800304933,0.319503275627384,3.41138795069352,-0.0913000523558061,1.70325097295488
Hamburg,Bergstedt,7.03932148448853,0.140104430051252,0.138367836266038,-0.0017365937852136,0.110665985871908,-0.0277018503941302,0.986240124531799,0.974015682589715,-0.0122244419420839,0.779013451950228,-0.195002230639488,-2.44666053174631
Hamburg,Billbrook,6.28861110775234,0.698536520037692,0.715549442634235,0.0170129225965439,0.788734555464698,0.0731851128304627,4.39282451907969,4.49981217309565,0.106987654015956,4.9600448865634,0.460232713467756,5.58729058701563
Hamburg,Billstedt,16.9238559568427,0.238115168091282,0.275811074533083,0.0376959064418006,0.258871804719038,-0.0169392698140441,4.02982680591624,4.66778689669989,0.637960090783651,4.38110913435291,-0.286677762346976,0.353013934601292
Hamburg,Billwerder,9.46935478328521,0.110088646767095,0.12043945416116,0.010350807394065,0.104224373124977,-0.0162150810361831,1.04246845384938,1.14048392135724,0.0980154675078532,0.9869375661859,-0.153546355171338,0.0917107476287555
Hamburg,Blankenese,7.73580907011748,0.146816658150717,0.184415228148205,0.0375985699974875,0.140661051562963,-0.0437541765852418,1.13574563576666,1.42660099457667,0.290855358810011,1.08812703849303,-0.338473956083635,-3.32208435847525
Hamburg,Borgfelde,0.82206943168482,0.540166052555554,0.554051793858503,0.0138857413029485,0.647551797041223,0.0935000031827199,0.444053999839777,0.455469043301214,0.0114150434614373,0.532332537780162,0.0768634944789474,3.97312182463682
Hamburg,Bramfeld,10.0658582058417,0.30963751451006,0.360075600529608,0.0504380860195472,0.365627579985585,0.0055519794559771,3.11676731626753,3.62446993831434,0.507702622046811,3.68035537627995,0.0558854379656127,1.26544293631755
Hamburg,Cranz,1.33358457219343,0.0948480454954836,0.114097714732494,0.0192496692370103,0.0905074305284879,-0.023590284204006,0.126487890175477,0.152158952089781,0.0256710619143033,0.12069931302166,-0.0314596390681207,-2.08698839087674
Hamburg,Curslack,10.5738425719232,0.0947246316437024,0.106448518693328,0.0117238870496258,0.114526435765091,0.0080779170717629,1.00160334268393,1.12556987867768,0.123966535993753,1.21098450210355,0.0854146234258728,-0.302845066443514
Hamburg,Dulsberg,1.22580280172841,0.401361214320409,0.407102654445564,0.0057414401251548,0.435007513579832,0.0279048591342682,0.491989701019073,0.499027574410444,0.0070378733913706,0.533233428919066,0.0342058545086224,2.77114568806272
Hamburg,Duvenstedt,6.78212414008748,0.116620338053995,0.119538926966016,0.0029185889120206,0.0864474188839511,-0.0330915080820649,0.790933609941164,0.810727842256371,0.0197942323152068,0.586297126461099,-0.224430715795272,-1.19735514873003
Hamburg,Eidelstedt,8.72229567580074,0.328572099381677,0.360543831028876,0.0319717316471987,0.297848652363744,-0.0626951786651327,2.86590300162558,3.1447698983198,0.278866896694223,2.59792401255536,-0.546845885764442,1.34068571008083
Hamburg,Eilbek,1.75136688552008,0.425044686737561,0.457171571590345,0.0321268848527843,0.51785974703453,0.0606881754441848,0.74440918921842,0.800675151484503,0.0562659622660831,0.906962412300081,0.106287260815578,3.36423107341883
